Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347811;12.2430349;46.6243613999999
STELVIO;BOLZANO;Trentino-Alto Adige;;2012;2012-05-28T11:08:06Z;1768518472;10.5117522;46.5687234
STELVIO;BOLZANO;Trentino-Alto Adige;;2015;2015-08-28T21:13:26Z;1445586646;10.4543377999999;46.5318147999999
STELVIO;BOLZANO;Trentino-Alto Adige;;2015;2015-08-28T21:13:26Z;1445586646;10.4543377999999;46.5318147999999
STELVIO;BOLZANO;Trentino-Alto Adige;Kleiner Boden;2011;2011-09-25T16:28:21Z;1444745428;10.5107371999999;46.5687981
VALDAORA;BOLZANO;Trentino-Alto Adige;Bunker;2013;2013-03-17T12:31:23Z;2206646004;12.0317114;46.7525462999999
ALA;TRENTO;Trentino-Alto Adige;Passo Buole;2012;2012-07-13T21:04:42Z;1824771780;11.0842828;45.7785835
BONDONE;TRENTO;Trentino-Alto Adige;;2010;2010-06-19T12:04:48Z;776120024;10.5455334999999;45.7847249
BONDONE;TRENTO;Trentino-Alto Adige;;2010;2010-06-19T12:04:48Z;776120024;10.5455334999999;45.7847249
MOENA;TRENTO;Trentino-Alto Adige;;2011;2011-08-01T09:21:52Z;1381595548;11.7357783999999;46.3744424
MORI;TRENTO;Trentino-Alto Adige;Monte Nagià Grom;2014;2014-05-19T06:53:54Z;2858197833;10.9490352;45.8625741
NAGO-TORBOLE;TRENTO;Trentino-Alto Adige;;2014;2014-05-16T11:47:19Z;2861917701;10.8987168;45.8581137999999
NAGO-TORBOLE;TRENTO;Trentino-Alto Adige;;2014;2014-05-16T11:49:51Z;2861924023;10.9099600999999;45.8577159
NAGO-TORBOLE;TRENTO;Trentino-Alto Adige;WW 1;2013;2013-12-29T09:00:31Z;2599312403;10.8967129;45.8509918
ROVERETO;TRENTO;Trentino-Alto Adige;15-18 Trincerone - Kopfstellung;2014;2014-05-21T12:01:27Z;2858135367;11.0511769999999;45.8267529
TRAMBILENO;TRENTO;Trentino-Alto Adige;Battaglia degli Altopiani;2015;2015-03-19T21:48:23Z;3407741620;11.1753712;45.7956134
VILLA LAGARINA;TRENTO;Trentino-Alto Adige;Trincee;2015;2015-03-09T19:54:38Z;3391357559;11.0256855;45.9431425
LEDRO;TRENTO;Trentino-Alto Adige;Trincea garibaldina del Colle di S.Stefano;2015;2015-11-02T14:19:14Z;830075464;10.7210483;45.8976784999999
CALTRANO;VICENZA;Veneto;Spiazzo del Generale;2010;2010-06-23T09:32:15Z;783882516;11.4572444;45.7978673
CHIUPPANO;VICENZA;Veneto;"Tomba Partigiano """"Lupo""""";2012;2012-05-13T11:52:02Z;1750944178;11.4932658;45.7590286
CHIUPPANO;VICENZA;Veneto;"Tomba Partigiano """"Pascià""""";2012;2012-05-13T11:50:59Z;1750943032;11.4932765;45.7582500999999
GALLIO;VICENZA;Veneto;Battaglia del Solstizio;2015;2015-03-20T18:49:50Z;3409314385;11.5802979;45.8690611
ROMANO D'EZZELINO;VICENZA;Veneto;;2012;2012-04-08T17:18:25Z;1707425055;11.7518938;45.8373013
SCHIO;VICENZA;Veneto;Postazioni del Rione;2014;2014-05-29T07:50:13Z;2886671386;11.2981228999999;45.7711867
TEZZE SUL BRENTA;VICENZA;Veneto;;2013;2013-04-11T19:28:15Z;2263175107;11.7723013;45.6865420999999
VALSTAGNA;VICENZA;Veneto;Galleria con Punto di vedetta;2012;2012-01-30T18:04:36Z;1612011120;11.6471345;45.8451323999999
VALSTAGNA;VICENZA;Veneto;Postazione Artiglieria;2012;2012-01-30T18:04:36Z;1612011292;11.6604234;45.8530222999999
VALSTAGNA;VICENZA;Veneto;Postazione Vedetta;2012;2012-01-30T18:04:36Z;1612011356;11.6569600999999;45.8545329
VALSTAGNA;VICENZA;Veneto;Punto di vedetta;2012;2012-01-30T18:04:15Z;1612040591;11.6466829999999;45.8476459
